"Vertex1"	"Vertex2"	"weight"	"id"
"n17"	"n12"	"24"	"e68"
"n33"	"n42"	"26"	"e39"
"n20"	"n0"	"2"	"e16"
"n58"	"n34"	"28"	"e57"
"n58"	"n36"	"26"	"e64"
"n42"	"n10"	"13"	"e42"
"n34"	"n10"	"27"	"e14"
"n84"	"n38"	"17"	"e11"
"n39"	"n50"	"9"	"e18"
"n45"	"n70"	"25"	"e4"
"n45"	"n12"	"3"	"e20"
"n34"	"n32"	"22"	"e35"
"n85"	"n51"	"14"	"e48"
"n80"	"n84"	"5"	"e67"
"n51"	"n0"	"26"	"e55"
"n81"	"n37"	"14"	"e51"
"n15"	"n39"	"28"	"e43"
"n58"	"n32"	"26"	"e38"
"n64"	"n66"	"28"	"e61"
"n61"	"n45"	"8"	"e10"
"n62"	"n83"	"29"	"e17"
"n48"	"n71"	"2"	"e65"
"n61"	"n32"	"5"	"e0"
"n13"	"n38"	"15"	"e23"
"n44"	"n78"	"4"	"e50"
"n50"	"n61"	"18"	"e49"
"n68"	"n33"	"1"	"e63"
"n2"	"n45"	"13"	"e59"
"n26"	"n43"	"26"	"e58"
"n43"	"n51"	"27"	"e15"
"n62"	"n32"	"8"	"e36"
"n54"	"n42"	"24"	"e41"
"n84"	"n42"	"9"	"e33"
"n51"	"n83"	"10"	"e5"
"n67"	"n40"	"12"	"e54"
"n72"	"n46"	"5"	"e62"
"n38"	"n32"	"11"	"e3"
"n58"	"n84"	"30"	"e9"
"n24"	"n30"	"13"	"e66"
"n34"	"n9"	"21"	"e60"
"n24"	"n61"	"7"	"e22"
"n84"	"n61"	"9"	"e21"
"n42"	"n45"	"23"	"e28"
"n51"	"n50"	"24"	"e56"
"n83"	"n32"	"7"	"e1"
"n42"	"n32"	"23"	"e27"
"n45"	"n32"	"15"	"e13"
"n16"	"n32"	"8"	"e19"
"n18"	"n2"	"16"	"e44"
"n2"	"n24"	"13"	"e53"
"n43"	"n40"	"19"	"e26"
"n29"	"n3"	"9"	"e46"
"n40"	"n83"	"22"	"e25"
"n42"	"n51"	"15"	"e47"
"n24"	"n42"	"23"	"e31"
"n25"	"n38"	"30"	"e24"
"n70"	"n32"	"4"	"e7"
"n42"	"n29"	"25"	"e45"
"n42"	"n61"	"9"	"e29"
"n42"	"n60"	"27"	"e52"
"n0"	"n65"	"28"	"e34"
"n45"	"n38"	"17"	"e8"
"n50"	"n32"	"22"	"e37"
"n10"	"n83"	"20"	"e12"
